round_id,hand_number,player_cards,dealer_cards,actions,bet_amount,final_result,blackjack,busted,strategy_used,bet_mode,true_count_prev_round,running_count_end,true_count_end,cards_remaining,decks_remaining
588,1,"5,9,5","6,Q,Q","double,stand",20.0,win,False,False,random-dfs,fixed,1.182,1.0,0.003,84,1.615
589,1,"5,Q,9","3,4,6,8",hit,10.0,lose,False,True,random-dfs,fixed,1.857,3.0,0.01,80,1.538
589,1,"5,Q,9","3,4,6,8","double,stand",20.0,lose,False,True,random-dfs,fixed,1.857,3.0,0.01,80,1.538
589,1,"5,Q","3,4,9,6",stand,10.0,win,False,False,random-dfs,fixed,1.857,3.0,0.01,80,1.538
590,1,"9,6","8,9",stand,10.0,lose,False,False,random-dfs,fixed,3.25,1.0,0.003,76,1.462
590,1,"9,6,7","8,9","double,stand",20.0,lose,False,True,random-dfs,fixed,3.25,1.0,0.003,76,1.462
590,1,"9,6,7","8,9",hit,10.0,lose,False,True,random-dfs,fixed,3.25,1.0,0.003,76,1.462
591,1,"Q,6","5,J,2",stand,10.0,lose,False,False,random-dfs,fixed,0.0,1.0,0.003,308,5.923
591,1,"Q,6,2","5,J,5","double,stand",20.0,lose,False,False,random-dfs,fixed,0.0,2.0,0.006,308,5.923
591,1,"Q,6,2,5","5,J,J","hit,hit",10.0,lose,False,True,random-dfs,fixed,0.0,1.0,0.003,308,5.923
591,1,"Q,6,2","5,J,5","hit,stand",10.0,lose,False,False,random-dfs,fixed,0.0,2.0,0.006,308,5.923
592,1,"2,5","J,6,K",stand,10.0,win,False,False,random-dfs,fixed,0.0,1.0,0.003,304,5.846
592,1,"2,5,K","J,6,K","double,stand",20.0,win,False,False,random-dfs,fixed,0.0,0.0,0.0,304,5.846
592,1,"2,5,K,K","J,6,9","hit,hit",10.0,lose,False,True,random-dfs,fixed,0.0,0.0,0.0,304,5.846
592,1,"2,5,K","J,6,K","hit,stand",10.0,win,False,False,random-dfs,fixed,0.0,0.0,0.0,304,5.846
593,1,"K,K,5","9,3,A,9",hit,10.0,lose,False,True,random-dfs,fixed,0.342,-1.0,-0.003,300,5.769
593,1,"K,K","9,3,5",stand,10.0,win,False,False,random-dfs,fixed,0.342,0.0,0.0,300,5.769
593,1,"K,K,5","9,3,A,9","double,stand",20.0,lose,False,True,random-dfs,fixed,0.342,-1.0,-0.003,300,5.769
594,1,"5,A,6","9,8","double,stand",20.0,lose,False,False,random-dfs,fixed,0.173,1.0,0.003,296,5.692
594,1,"5,A","9,8",stand,10.0,lose,False,False,random-dfs,fixed,0.173,0.0,0.0,296,5.692
594,1,"5,A,6","9,8","hit,stand",10.0,lose,False,False,random-dfs,fixed,0.173,1.0,0.003,296,5.692
594,1,"5,A,6,7","9,8","hit,hit,stand",10.0,win,False,False,random-dfs,fixed,0.173,1.0,0.003,296,5.692
594,1,"5,A,6,7,8","9,8","hit,hit,hit",10.0,lose,False,True,random-dfs,fixed,0.173,1.0,0.003,296,5.692
595,1,"6,7","8,J",stand,10.0,lose,False,False,random-dfs,fixed,0.176,0.0,0.0,292,5.615
595,1,"6,7,J","8,J",hit,10.0,lose,False,True,random-dfs,fixed,0.176,-1.0,-0.003,292,5.615
595,1,"6,7,J","8,J","double,stand",20.0,lose,False,True,random-dfs,fixed,0.176,-1.0,-0.003,292,5.615
596,1,"J,5,4","6,6,5","double,stand",20.0,win,False,False,random-dfs,fixed,0.178,4.0,0.013,288,5.538
596,1,"J,5","6,6,4,5",stand,10.0,lose,False,False,random-dfs,fixed,0.178,4.0,0.013,288,5.538
596,1,"J,5,4,5","6,6,2,6","hit,hit",10.0,lose,False,True,random-dfs,fixed,0.178,6.0,0.019,288,5.538
596,1,"J,5,4","6,6,5","hit,stand",10.0,win,False,False,random-dfs,fixed,0.178,4.0,0.013,288,5.538
597,1,"4,5,A","2,6,K","double,stand",20.0,win,False,False,random-dfs,fixed,0.542,2.0,0.006,284,5.462
597,1,"4,5,A","2,6,K","hit,stand",10.0,win,False,False,random-dfs,fixed,0.542,2.0,0.006,284,5.462
597,1,"4,5,A,K","2,6,10","hit,hit,stand",10.0,win,False,False,random-dfs,fixed,0.542,1.0,0.003,284,5.462
597,1,"4,5,A,K,10","2,6,10","hit,hit,hit",10.0,lose,False,True,random-dfs,fixed,0.542,0.0,0.0,284,5.462
597,1,"4,5","2,6,A",stand,10.0,lose,False,False,random-dfs,fixed,0.542,3.0,0.01,284,5.462
598,1,"A,K","10,10",stand,10.0,win,True,False,random-dfs,fixed,1.282,-4.0,-0.013,280,5.385
599,1,"3,8,J","6,4,7","hit,stand",10.0,win,False,False,random-dfs,fixed,0.557,2.0,0.006,276,5.308
599,1,"3,8,J","6,4,7","double,stand",20.0,win,False,False,random-dfs,fixed,0.557,2.0,0.006,276,5.308
599,1,"3,8","6,4,J",stand,10.0,lose,False,False,random-dfs,fixed,0.557,2.0,0.006,276,5.308
600,1,"J,7","9,6,9",stand,10.0,win,False,False,random-dfs,fixed,1.13,0.0,0.0,272,5.231
600,1,"J,7,9","9,6,2",hit,10.0,lose,False,True,random-dfs,fixed,1.13,1.0,0.003,272,5.231
600,1,"J,7,9","9,6,2","double,stand",20.0,lose,False,True,random-dfs,fixed,1.13,1.0,0.003,272,5.231
